phylum	class
seq12174	Cercozoa	Thecofilosea
seq12176	NA	Dinophyceae
seq12178	Nematoda	Chromadorea
seq1218	Platyhelminthes	Rhabditophora
seq12180	Cercozoa	Imbricatea
seq12181	Ciliophora	Prostomatea
seq12183	Ciliophora	Oligohymenophorea
seq12185	Bacillariophyta	Bacillariophyceae
seq12192	Platyhelminthes	Rhabditophora
seq12193	Ciliophora	Spirotrichea
seq12194	Ciliophora	Litostomatea
seq12195	Ascomycota	Saccharomycetes
seq121974	Ciliophora	Plagiopylea
seq121983	Ciliophora	Plagiopylea
seq122	Mollusca	Gastropoda
seq1221	Bacillariophyta	Bacillariophyceae
seq12221	Platyhelminthes	Rhabditophora
seq122290	NA	Bigyra
seq1223	Arthropoda	Hexanauplia
seq12230	NA	Bigyra
seq12232	Platyhelminthes	Rhabditophora
seq12234	Chytridiomycota	Chytridiomycetes
seq12237	NA	Dinophyceae
seq1224	Nematoda	Chromadorea
seq12241	Ciliophora	Oligohymenophorea
seq122456	NA	Dinophyceae
seq12248	Platyhelminthes	Rhabditophora
seq1225	Rhodophyta	Florideophyceae
seq12250	Apicomplexa	Conoidasida
seq12252	Ciliophora	Oligohymenophorea
seq12261	Ciliophora	Litostomatea
seq12264	Annelida	Polychaeta
seq1227	Ciliophora	Oligohymenophorea
seq122775	Platyhelminthes	Rhabditophora
seq1228	Bacillariophyta	Coscinodiscophyceae
seq12281	NA	Phaeosacciophyceae
seq12285	Chytridiomycota	Chytridiomycetes
seq122931	NA	Bigyra
seq123	Annelida	Polychaeta
seq12311	NA	Hyphochytriomycetes
seq12314	Bacillariophyta	Bacillariophyceae
seq1232	Arthropoda	Hexanauplia
seq123256	Platyhelminthes	Monogenea
seq1233	NA	Centroplasthelida
seq12330	NA	Cryptophyceae
seq12338	Mollusca	Bivalvia
seq12339	Ciliophora	Spirotrichea
seq1235	Bacillariophyta	Bacillariophyceae
seq12351	NA	Chrysomerophyceae
seq12356	NA	Chrysophyceae
seq1236	Arthropoda	Hexanauplia
seq12361	Platyhelminthes	Rhabditophora
seq12364	Ciliophora	Prostomatea
seq12368	NA	Bigyra
seq12369	NA	Dinophyceae
seq12371	Platyhelminthes	Trematoda
seq123725	Bryozoa	Gymnolaemata
seq12374	Nematoda	Enoplea
seq12377	Apicomplexa	Conoidasida
seq12386	NA	Chrysomerophyceae
seq1239	NA	Dinophyceae
seq12394	Arthropoda	Hexanauplia
seq12395	Bacillariophyta	Mediophyceae
seq12396	NA	Dinophyceae
seq1240	NA	Synurophyceae
seq12403	Ciliophora	Spirotrichea
