Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
2C26SB1	2	1.79834	0.813322286	0.33571	0.004748119	0.002377399	0.260237626
2C26SB2	2	1.854145455	0.810218871	0.351881818	0.004240673	0.002314716	0.431793194
2C26SB3	2	1.84677	0.814438181	0.34269	0.004256747	0.002147011	0.27385912
2C26RB1	2	1.865745455	0.804625984	0.364518182	0.004237464	0.002305512	1.294188289
2C26RB2	2	2.016145455	0.864642703	0.2729	0.011368814	0.016531987	0.339284895
2C26RB3	2	1.93815	0.821840415	0.3453	0.015015451	0.004198523	0.209497921
2C27SB1	2	1.8384	0.828070605	0.316075	0.002769884	0.002331673	0.207359781
2C27SB2	2	1.862036364	0.827598328	0.321018182	0.002821659	0.002402081	0.171125877
2C27SB3	2	1.80628	0.82655513	0.31329	0.003188236	0.001797978	0.212052782
2C27RB1	2	1.869458333	0.836824392	0.30505	0.004325941	0.003817232	0.260202092
2C27RB2	2	1.820316667	0.835816113	0.298866667	0.004962604	0.004937387	0.3028527
2C27RB3	2	1.809218182	0.822746138	0.320690909	0.004159725	0.00231208	0.373319452
2C27EB1	2	1.844372727	0.789398712	0.388427273	0.009422828	0.003338675	0.732581999
2C27EB2	2	1.81942	0.756455354	0.44311	0.017243626	0.004605316	0.742732405
2C27EB3	2	1.77409	0.790687056	0.37134	0.010638535	0.003603825	0.617228346
2C28SB1	2	1.87964	0.803387883	0.36956	0.006666742	0.002538641	0.848411047
2C28SB2	2	1.835845455	0.810808	0.347327273	0.006019532	0.002805442	0.932595739
2C28SB3	2	1.787145455	0.816222925	0.328436364	0.006227019	0.002973309	0.956456236
2C28RB1	2	1.882491667	0.802478099	0.371833333	0.005242491	0.003189523	0.234656429
2C28RB2	2	1.829745455	0.801601812	0.363018182	0.005660904	0.003371157	0.237177596
2C28RB3	3	1.822645455	0.813767202	0.339436364	0.007111937	0.00343264	0.261949702
2C28EB1	2	1.784608333	0.818522271	0.323866667	0.003725125	0.002254681	0.272903422
2C28EB2	2	1.819527273	0.818379399	0.330463636	0.004400184	0.001973954	0.295936157
2C28EB3	2	1.86741	0.821073037	0.33413	0.005091425	0.002545712	0.338813512
2C29SB1	2	1.854975	0.791636904	0.386508333	0.014366499	0.010388419	0.65584849
2C29SB2	2	1.785463636	0.797129343	0.362218182	0.011783753	0.007898134	0.648239598
2C29SB3	2	1.756218182	0.783305036	0.380563636	0.011984131	0.007654948	0.692071634
2C29RB1	3	1.98327	0.840783151	0.31577	0.014792605	0.051289875	0.551561001
2C29RB2	3	1.996072727	0.811138235	0.376981818	0.0105636	0.04004845	0.545429682
2C29RB3	3	1.942272727	0.819040487	0.351472727	0.02188993	0.052236769	0.594992162
2C29EB1	2	1.859092308	0.788908566	0.392438462	0.011965788	0.008108396	0.59889872
2C29EB2	2	1.83658	0.80542639	0.35735	0.008797	0.008385043	0.64390771
2C29EB3	2	1.820025	0.804164778	0.356425	0.009634451	0.01069202	0.622176966
2C30SB1	2	1.735722222	0.814070352	0.322722222	0.003714548	0.002227714	1.009753441
2C30SB2	2	1.77234	0.81053861	0.33579	0.005861353	0.005672112	0.95399585
2C30SB3	2	1.77037	0.799166276	0.35555	0.003471575	0.002129578	1.029987553
2C30RB1	1	1.701436364	0.697971767	0.513881818	0.016934679	0.005267652	0.691034323
2C30RB2	1	1.770369231	0.733410675	0.471961538	0.012163974	0.004785345	0.652535658
2C30RB3	1	1.79278	0.748580417	0.45074	0.01183103	0.004749331	0.675020834
2C30EB1	2	1.782945455	0.805485305	0.346809091	0.005702138	0.002761663	0.450172234
2C30EB2	3	1.79979	0.787602998	0.38227	0.007107092	0.00321626	0.525490269
2C30EB3	2	1.79842	0.78147485	0.393	0.00909718	0.003477911	0.463968285
2C31SB1	2	1.84229	0.811039521	0.34812	0.003896777	0.003282006	0.177416991
2C31SB2	2	1.845563636	0.802558469	0.364390909	0.004267003	0.003995353	0.204928317
2C31SB3	2	1.7945	0.815519643	0.33105	0.004328546	0.004145306	0.173791294
2C31RB1	3	1.922418182	0.838205669	0.311036364	0.009901628	0.037025279	0.325514914
2C31RB2	3	1.92374	0.845285745	0.29763	0.010659291	0.041592434	0.440281871
2C31RB3	3	1.781963636	0.855986246	0.256627273	0.015469921	0.068545939	0.417329095
2C31EB1	2	1.87054	0.801944893	0.37047	0.007218097	0.002626769	0.277961197
2C31EB2	2	1.823353846	0.799650686	0.365307692	0.006785928	0.002582519	0.292414067
2C31EB3	2	1.82859	0.80174342	0.36253	0.006696125	0.002449675	0.313205113
2C32SB1	3	1.921954545	0.827131471	0.332245455	0.002681996	0.001231601	0.195571749
2C32SB2	3	1.882458333	0.831350849	0.317475	0.002662552	0.001452595	0.182131653
2C32SB3	3	1.883390909	0.832613323	0.315254545	0.003323237	0.001598283	0.217810921
2C32RB1	3	1.83069	0.789019441	0.38624	0.004157064	0.001302474	0.282885821
2C32RB2	3	1.7355	0.808700663	0.332	0.003713929	0.001115161	0.230162775
2C32RB3	3	1.92445	0.830243706	0.3266875	0.006428032	0.005435648	0.412730061
2C33SB1	2	1.84561	0.777553221	0.41055	0.005496514	0.001045633	0.711456965
2C33SB2	2	1.689455556	0.808090706	0.324222222	0.005350901	0.000978758	0.695937821
2C33SB3	2	1.729911111	0.80063844	0.344877778	0.005875323	0.001047087	0.585722719
2C33RB1	3	1.9217	0.843183356	0.301354545	0.006250077	0.002562245	0.629603337
2C33RB2	3	1.871827273	0.842404845	0.294990909	0.005562311	0.003475506	0.437104013
2C33RB3	3	1.890754545	0.840818721	0.300972727	0.007582137	0.004781494	1.245933807
