Sample_ID	season	cluster	habitat	field_replicate	d14N_15N	d12C_13C	N	C	CN_ratio	Density	Dry_matter	Grain_size	Water_content	Organic_content	Inorganic_content	TP	NP_ratio	hb	snch	Salinity	sal_group	log_N	log_C	log_Organic_content	log_Inorganic_content	log_CN_ratio	log_NP_ratio	log_TP	d14N_15N_summedmin	cube_d14N_15N	hab_uni
57	2C17SB3	autumn	17	SB	3	2.935674386	-17.17643487	320.6834073	2824.676342	10.27635249	1.94489	0.817531162	1	0.354881818	0.009636415	0.003626405	0.294604049	1088.5234211428	sand	autumn_17_sand	27.3424993	3	5.77045436635218	7.94614906781345	-4.64220612749397	-5.61951347956073	2.32984538091702	6.9925773973405	-1.22212303098831	29.879952676	26677.1675175548	sand
58	2C18RB1	autumn	18	RB	1	2.979965515	-19.22391138	162.9006869	1344.485171	9.62897126	1.901593	0.814571257	2	0.35261	0.01029964	0.004275264	0.32129404	507.01434393243	rocks	autumn_18_rocks	24.20350357	2	5.09314073229647	7.20376644626914	-4.57564633581367	-5.45490942411417	2.26477639352008	6.22853929497092	-1.13539856267445	29.924243805	26795.9743488324	rocks
59	2C18RB2	autumn	18	RB	2	3.360871411	-19.63353251	170.9262798	1370.000489	9.35101323	1.862160833	0.816503498	2	0.3417	0.008255422	0.005897173	0.370394087	461.471405184716	rocks	autumn_18_rocks	24.20350357	2	5.14123235126634	7.22256637575641	-4.79688508238365	-5.1332821954431	2.23548470427425	6.13442009142677	-0.99318774016043	30.305149701	27832.3130777252	rocks
60	2C18RB3	autumn	18	RB	3	3.259230718	-20.54751362	122.0958311	1216.046101	11.61972885	1.897728	0.825738989	2	0.3307	0.007857712	0.004185599	0.332842107	366.82808013831	rocks	autumn_18_rocks	24.20350357	2	4.80480623720862	7.10335997381405	-4.84625980906473	-5.47610545505585	2.45270441638386	5.90489329180962	-1.100087054601	30.203509008	27553.2101825824	rocks
61	2C18SB1	autumn	18	SB	1	3.747698123	-20.20103006	412.3626431	4038.773927	11.42659985	1.872916	0.756710926	1	0.45566	0.011554727	0.003327117	0.570524209	722.77851946507	sand	autumn_18_sand	24.25895595	2	6.0219031638982	8.30369644147894	-4.46066066167077	-5.70564911574718	2.43594395761147	6.58310283977214	-0.561199675873935	30.691976413	28911.7624771576	sand
62	2C18SB2	autumn	18	SB	2	3.755592546	-20.56161939	380.7064055	3494.816095	10.70978945	1.819643	0.74941788	1	0.45597	0.010846356	0.003544813	0.507649353	749.939703951519	sand	autumn_18_sand	24.25895595	2	5.94202848883135	8.15903603382709	-4.52392610794132	-5.642269870742	2.3711582250694	6.61999280856722	-0.677964319735865	30.699870836	28934.0777942015	sand
63	2C18SB3	autumn	18	SB	3	4.600295776	-20.00889686	502.4527495	4605.250268	10.69312883	1.80519	0.758459069	1	0.436027273	0.01353394	0.004296711	0.584494607	859.636245540243	sand	autumn_18_sand	24.25895595	2	6.21950160466628	8.43495229422678	-4.30255467446108	-5.44990543267635	2.36960136977077	6.75650932946834	-0.537007724802058	31.544574066	31388.7486966029	sand
64	2C19EB1	autumn	19	EB	1	2.427355925	-21.43549772	172.0136725	1403.783689	9.521031749	1.89944	0.803115655	2	0.37397	0.006973203	0.002889916	0.371692089	462.785401117321	eelgrass	autumn_19_eelgrass	17.74977314	2	5.14757396493326	7.2469265050523	-4.96568061887676	-5.84652784302416	2.25350321992671	6.13726345013166	-0.989689485198401	29.371634215	25338.7001946949	eelgrass
65	2C19EB2	autumn	19	EB	2	1.730673122	-19.78453472	168.4482918	1453.059793	10.06383862	1.875307692	0.808306329	2	0.359484615	0.007891893	0.004558874	0.283023983	595.173207635906	eelgrass	autumn_19_eelgrass	17.74977314	2	5.12662882910658	7.28142681413446	-4.84191924894713	-5.39067961577259	2.30894866445591	6.38885246845314	-1.26222363934656	28.674951412	23578.0601918092	eelgrass
66	2C19EB3	autumn	19	EB	3	2.573402746	-20.91639377	176.1871484	1826.633351	12.09550335	1.90746	0.806905518	2	0.36832	0.007074616	0.003168083	0.3537756	498.019502758246	eelgrass	autumn_19_eelgrass	17.74977314	2	5.17154677327106	7.51022985260398	-4.95124211254419	-5.75462860587821	2.49283375956645	6.21063923842299	-1.03909246515192	29.517681036	25718.5634370489	eelgrass
