Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
2C5RB	2C5RB	5	autumn	rocks	sediment	57.59213	9.947258	257	North Sea	North Sea	492.1952
2C5RW	2C5RW	5	autumn	rocks	water	57.59213	9.947258	258	North Sea	North Sea	492.1952
2C5SB	2C5SB	5	autumn	sand	sediment	57.59213	9.947258	259	North Sea	North Sea	492.1952
2C5SW	2C5SW	5	autumn	sand	water	57.59213	9.947258	260	North Sea	North Sea	492.1952
C5RB	C5RB	5	spring	rocks	sediment	57.59213	9.947258	261	North Sea	North Sea	492.1952
C5RW	C5RW	5	spring	rocks	water	57.59213	9.947258	262	North Sea	North Sea	492.1952
C5SB	C5SB	5	spring	sand	sediment	57.59213	9.947258	263	North Sea	North Sea	492.1952
C5SW	C5SW	5	spring	sand	water	57.59213	9.947258	264	North Sea	North Sea	492.1952
2C9EB	2C9EB	9	autumn	eelgrass	sediment	56.71281	9.209116	265	Limfjord	Limfjord	501.0269
2C9EW	2C9EW	9	autumn	eelgrass	water	56.71281	9.209116	266	Limfjord	Limfjord	501.0269
